imdb_id,original_title,tags
tt7639372,Total Dhamaal,action adventure comedy total dhamaal is the third instalment in the dhamaal franchise. a hidden booty of 50 crore leads to a mad chase amongst a bunch of greedy and eccentric characters. in them are a bickering couple on the verge of a divorce greedy siblings local goons a police commissioner and the mastermind of the loot. will they finally discover the hidden treasure? ajaydevgn madhuridixit anilkapoor riteishdeshmukh arshadwarsi javedjaffrey eshagupta bomanirani sanjaymishra vijaypatkar pitobash maheshmanjrekar ali 
tt8108200,Sonchiriya,action crime drama this is the story of a group of rebels in chambal. the year is 1975. the prime minister indira gandhi has declared emergency in the country. man singh (manoj bajpayee) meanwhile leads a gang in chambal a region that more or less is lawless. vakil singh (ranvir shorey) and lakhna (sushant singh rajput) are important members of this gang. man singh is in need of money to procure new arms. based on a tip from lacchu (jaspal sharma) he and his men descend to brahmpuri village. a marriage is taking place in this hamlet where the groom is about to get a huge amount of gold and cash. man singh and his gang reaches the marriage venue in order to loot this wealth. however the cops led by virender gujjar (ashutosh rana) ambush the gang. in the tough fight man singh and half of the gang get killed. vakil lakhna and others escape. vakil now the leader of the gang accuses lakhna of betraying them and calling the cops. lakhna is fed up of being a rebel and wants to surrender. meanwhile ... sushantsinghrajput bhumipednekar manojbajpayee ranvirshorey ashutoshrana gagandevriar 
tt8130968,Badla,crime drama mystery naina sethi a successful entrepreneur finds herself locked in a hotel room.when she gains conscious she finds herself lying to corpse of her lover arjun she is arrested for the murder.but left on bail her lawyer jimmy hires a defense lawyer badal gupta who hasn't lost a case since last 40 years.badal and naina discuss about the events that happened during that day.but badal feels that there are lot many loopholes in naina's story. amitabhbachchan taapseepannu amritasingh antonioaakeel tonyluke tanveerghani tariqsafdarhussain markmansfield 
tt8055888,Mard Ko Dard Nahin Hota,action comedy it is a story of a young boy surya who has a rare condition of congenital insensitivity to pain meaning he can not feel pain and he sets out to learn martial arts and hunt down muggers. abhimanyudasani radhikamadan prateekparmar satyajitganu 
tt7527082,Hamid,drama hamid's (8) father has gone missing. his mother ishrat has turned indifferent towards hamid and the entire world after the incident. neglected and lonely with a heart searching for answers hamid star gazes in the hope of meeting his father. the number 786 always bewildered hamid. one day a teacher tells hamid that this is god's number. using his father's old mobile phone after trying different combinations he finally manages to connect to a person who he is convinced is god. on the other side is abhay a hard-knuckled crpf jawaan. hamid's phone call though surprising at first intrigues abhay who engages in humouring hamid. these two unknowingly and unintentionally change each other's world for the better. talhaarshadreshi vikaskumar rasikadugal sumitkaul bashirlone gurveersingh ashrafnagoo mirsarwar qazifaiz umaradil 
tt7778680,Photograph,drama romance two lives intersect in mumbai and go along together. a struggling street photographer pressured to marry by his grandmother convinces a shy stranger to pose as his fiancée. the pair develops a connection that transforms them in ways that they could not expect. from ritesh batra (the lunchbox). nawazuddinsiddiqui sanyamalhotra sachinkhedekar denzilsmith brindatrivedi lubnasalim rajeshkumarsharma shihaanbakshi akashsinha seemapravinshende robindas bhagwandaspatel ashokpathak amarjeetsingh 
tt9795264,Risknamaa,thriller sher singh is the sarpanch of his village. whose same order for all that whoever loves will get the death punishment only. in this way sher singh has killed so many boys and girls who loves each other. but one day that sarpanch also falls in love and the girl whom sher singh loves that girl is the wife of her younger brother. garimaagarwal anupama parveenbansala mahaveersinghfauji javedhaider shahbaazkhan sachinkhari pramodmoutho aarunnagar khyatisharma ravisharma shashikantsharma 
tt8207768,Mere Pyare Prime Minister,drama a story about four children living in a mumbai slum in india. an eight-year old kanhu writes a letter to the prime minister after a dramatic incident with his mother. a small boy has to achieve the impossible. rasikaagashe soniaalbizuri synaanand adarshbharti makranddeshpande omkanojiya atulkulkarni anjalipatil prasad nachiketpurnapatre niteeshwadhwa 
tt9496212,22 Yards,sport a dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer. barunsobti rajitkapur panchhibora kartikeytripathi 
tt6264938,Kesari,action drama history this period war-drama showcases the 1897 battle of saragarhi. the plot focuses on havildar ishar singh who led a platoon of 21 sikhs against an invading army of 10 000 afghans to defend the north-west frontier province. the event is considered as one of the greatest last-stands in history. akshaykumar parineetichopra suvindervicky vanshbhardwaj sumeetbasran ajitsingh sandeepnahar harwindersinghaujla rakeshsharma adhritsharma viveksaini harbhagwansingh rajdeepsinghdhaliwal gurpreettoti 
tt9105014,Notebook,drama romance in the kashmir valley kabir a former army officer comes as a teacher in a school which was once run by his father.the school has no facilities and is soon to be shut without a teacher.after finding about the new teacher students start to attend the school. but the they don't like kabir as he is strict.kabir then comes across the diary of previous teacher firdaus and adopts her way of teaching and becomes friend of the students.he gets to know more about firdaus and wants to know where and what she is doing presently. zaheeriqbal pranutanbahl mirmohammedmehroos mirmohammedzayan solihamaqbool babahatim adibabhat hafsaashraf madikha bareen mozimbhat mirsarwar hemantkher shryshzutshi 
tt7463730,Junglee,action adventure dipankar nair runs a elephant sanctuary but things have turned bad as hunters are frequently killing elephants for their tusks.his son raj a vet in mumbai arrives for 10th death anniversary of his mother befriends his childhood animals bhola and didi.keshav an hunter has an eye on huge tusks of bhola which could fetch good money.keshav kills bhola for his tusks and also dipankar who tries to save him.the cops arrive at funeral of dipankar and falsely implicate him of being with hunters and also frame raj for it. vidyutjammwal larskjeldsen 
